Energy,Momentum,Parton,CTEQ6D Value,CTEQ6L1 Value
8,2,6,0.0,0.0
8,2,7,0.0,0.0
9,2,0,0.0,0.0
9,2,1,0.0,0.0
9,2,2,0.0,0.0
9,2,3,0.0,0.0
9,2,4,0.0,0.0
9,2,5,0.0,0.0
9,2,6,0.0,0.0
9,2,7,0.0,0.0
10,2,0,0.0,0.0
10,2,1,0.0,0.0
10,2,2,0.0,0.0
10,2,3,0.0,0.0
10,2,4,0.0,0.0
10,2,5,0.0,0.0
10,2,6,0.0,0.0
10,2,7,0.0,0.0
11,2,0,0.0,0.0
11,2,1,0.0,0.0
11,2,2,0.0,0.0
11,2,3,0.0,0.0
11,2,4,0.0,0.0
11,2,5,0.0,0.0
11,2,6,0.0,0.0
11,2,7,0.0,0.0
12,2,0,0.0,0.0
12,2,1,0.0,0.0
12,2,2,0.0,0.0
12,2,3,0.0,0.0
12,2,4,0.0,0.0
12,2,5,0.0,0.0
12,2,6,0.0,0.0
12,2,7,0.0,0.0
13,2,0,0.0,0.0
13,2,1,0.0,0.0
13,2,2,0.0,0.0
13,2,3,0.0,0.0
13,2,4,0.0,0.0
13,2,5,0.0,0.0
13,2,6,0.0,0.0
13,2,7,0.0,0.0
14,2,0,0.0,0.0
14,2,1,0.0,0.0
14,2,2,0.0,0.0
14,2,3,0.0,0.0
14,2,4,0.0,0.0
14,2,5,0.0,0.0
14,2,6,0.0,0.0
14,2,7,0.0,0.0
15,2,0,0.0,0.0
15,2,1,0.0,0.0
15,2,2,0.0,0.0
15,2,3,0.0,0.0
15,2,4,0.0,0.0
15,2,5,0.0,0.0
15,2,6,0.0,0.0
15,2,7,0.0,0.0
16,2,0,0.0,0.0
16,2,1,0.0,0.0
16,2,2,0.0,0.0
16,2,3,0.0,0.0
16,2,4,0.0,0.0
16,2,5,0.0,0.0
16,2,6,0.0,0.0
16,2,7,0.0,0.0
17,2,0,0.0,0.0
17,2,1,0.0,0.0
17,2,2,0.0,0.0
17,2,3,0.0,0.0
17,2,4,0.0,0.0
17,2,5,0.0,0.0
17,2,6,0.0,0.0
17,2,7,0.0,0.0
18,2,0,0.0,0.0
18,2,1,0.0,0.0
18,2,2,0.0,0.0
18,2,3,0.0,0.0
18,2,4,0.0,0.0
18,2,5,0.0,0.0
18,2,6,0.0,0.0
18,2,7,0.0,0.0
19,2,0,0.0,0.0
19,2,1,0.0,0.0
19,2,2,0.0,0.0
19,2,3,0.0,0.0
19,2,4,0.0,0.0
19,2,5,0.0,0.0
19,2,6,0.0,0.0
19,2,7,0.0,0.0
0,3,0,0.0,0.0
0,3,1,0.0,0.0
0,3,2,0.0,0.0
0,3,3,0.0,0.0
0,3,4,0.0,0.0
0,3,5,0.0,0.0
0,3,6,0.0,0.0
0,3,7,0.0,0.0
1,3,0,0.0,0.0
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.0,0.0
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
2,3,0,0.0,0.0
2,3,1,0.0,0.0
2,3,2,0.0,0.0
2,3,3,0.0,0.0
2,3,4,0.0,0.0
2,3,5,0.0,0.0
2,3,6,0.0,0.0
2,3,7,0.0,0.0
3,3,0,0.0,0.0
3,3,1,0.0,0.0
3,3,2,0.0,0.0
3,3,3,0.0,0.0
3,3,4,0.0,0.0
3,3,5,0.0,0.0
3,3,6,0.0,0.0
3,3,7,0.0,0.0
4,3,0,0.0,0.0
4,3,1,0.0,0.0
4,3,2,0.0,0.0
4,3,3,0.0,0.0
4,3,4,0.0,0.0
4,3,5,0.0,0.0
4,3,6,0.0,0.0
4,3,7,0.0,0.0
5,3,0,0.0,0.0
5,3,1,0.0,0.0
5,3,2,0.0,0.0
5,3,3,0.0,0.0
5,3,4,0.0,0.0
5,3,5,0.0,0.0
5,3,6,0.0,0.0
5,3,7,0.0,0.0
6,3,0,0.0,0.0
6,3,1,0.0,0.0
6,3,2,0.0,0.0
6,3,3,0.0,0.0
6,3,4,0.0,0.0
6,3,5,0.0,0.0
6,3,6,0.0,0.0
6,3,7,0.0,0.0
7,3,0,0.0,0.0
7,3,1,0.0,0.0
7,3,2,0.0,0.0
7,3,3,0.0,0.0
7,3,4,0.0,0.0
7,3,5,0.0,0.0
7,3,6,0.0,0.0
7,3,7,0.0,0.0
8,3,0,0.0,0.0
8,3,1,0.0,0.0
8,3,2,0.0,0.0
8,3,3,0.0,0.0
8,3,4,0.0,0.0
8,3,5,0.0,0.0
8,3,6,0.0,0.0
8,3,7,0.0,0.0
9,3,0,0.0,0.0
9,3,1,0.0,0.0
9,3,2,0.0,0.0
9,3,3,0.0,0.0
9,3,4,0.0,0.0
9,3,5,0.0,0.0
9,3,6,0.0,0.0
9,3,7,0.0,0.0
10,3,0,0.0,0.0
10,3,1,0.0,0.0
10,3,2,0.0,0.0
10,3,3,0.0,0.0
10,3,4,0.0,0.0
10,3,5,0.0,0.0
10,3,6,0.0,0.0
10,3,7,0.0,0.0
11,3,0,0.0,0.0
11,3,1,0.0,0.0
11,3,2,0.0,0.0
11,3,3,0.0,0.0
11,3,4,0.0,0.0
11,3,5,0.0,0.0
11,3,6,0.0,0.0
11,3,7,0.0,0.0
12,3,0,3090440.0,3691260.0
12,3,1,0.0,1.86219e-10
12,3,2,0.0,0.0
12,3,3,0.0,9.31095e-11
12,3,4,0.0,0.0
12,3,5,0.0,0.0
12,3,6,1.16529e-11,0.0
12,3,7,0.0,0.0
13,3,0,5.82645e-12,1.16529e-11
13,3,1,0.0,5.82645e-12
13,3,2,1.16387e-11,1.16387e-11
13,3,3,5.81935e-12,5.81935e-12
13,3,4,0.0,0.0
13,3,5,0.0,0.0
13,3,6,0.0,1.45661e-12
13,3,7,0.0,0.0
14,3,0,1.45484e-12,1.45484e-12
14,3,1,1.45484e-12,0.0
14,3,2,0.0,0.0
14,3,3,0.0,0.0
14,3,4,1.82077e-13,3.63709e-13
14,3,5,0.0,3.63709e-13
14,3,6,0.0,0.0
14,3,7,0.0,0.0
15,3,0,0.0,0.0
15,3,1,9.09273e-14,0.0
15,3,2,0.0,9.09273e-14
15,3,3,2.27596e-14,4.54636e-14
15,3,4,0.0,0.0
15,3,5,2.27318e-14,1.13798e-14
15,3,6,0.0,0.0
15,3,7,0.0,0.0
16,3,0,1.13659e-14,5.68989e-15
16,3,1,0.0,0.0
16,3,2,0.0,5.68295e-15
16,3,3,0.0,2.84495e-15
16,3,4,0.0,1.42247e-15
16,3,5,2.84148e-15,0.0
16,3,6,0.0,0.0
16,3,7,7.11237e-16,0.0
17,3,0,0.0,0.0
17,3,1,0.0,0.0
17,3,2,0.0,3.55618e-16
17,3,3,0.0,1.77809e-16
17,3,4,0.0,0.0
17,3,5,1.77809e-16,1.77809e-16
17,3,6,0.0,0.0
